DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP
19.136,49.8443,1.6593,1.4614,46.2082,10.4375,68.4933,0.7315,311173.175,1791
19.2884,50.1278,1.5261,1.4632,-0.093388741,10.2972,73.471,0.737,288473.067,1791
19.4408,49.5299,1.5448,1.464,-0.103872421,10.1939,69.8599,0.7436,294315.0488,1791
19.5932,49.0172,1.5651,1.4647,-0.11286219,10.2977,67.2301,0.7538,300520.1097,1791
19.7456,48.1839,1.578,1.4652,-0.127473414,10.4473,71.8453,0.7332,305353.8566,1791
19.898,48.5493,1.5749,1.4652,-0.121066428,10.5317,71.2836,0.7316,307106.13,1791
20.0504,48.9866,1.5637,1.465,-0.113398736,10.4211,73.4603,0.74,307257.5427,1441
20.2028,49.492,1.5476,1.4648,-0.104536966,10.2465,73.2526,0.769,306405.3621,1442.504
20.3552,53.077,1.5541,1.4648,-0.041676968,9.9583,67.2695,0.7573,310013.3599,1441
20.5076,56.4808,1.5707,1.4657,0.018005839,9.9102,69.4063,0.7534,315670.6157,1442
20.66,59.1468,1.6174,1.4673,0.064751935,9.9293,64.3229,0.7564,327471.7432,1443
20.8124,58.9195,1.661,1.468,0.060766419,9.9432,63.6229,0.7705,338780.0847,1442
20.9648,55.8605,1.6864,1.4676,0.007129393,9.7944,68.5705,0.7724,346479.3795,1442.504
21.1172,55.4762,1.6877,1.4666,0.000391012,9.7381,68.2168,0.7717,349267.0847,1441.496
21.2696,52.7919,1.6873,1.4655,-0.04667596,9.7139,65.2809,0.77,351704.3216,1441.5
21.422,50.4979,1.6859,1.4651,-0.086899345,9.8531,67.5391,0.762,353930.428,1443
21.5744,48.4127,1.6901,1.4654,-0.123461596,10.0504,69.7913,0.7403,357336.3557,1443
21.7268,48.463,1.6747,1.4659,-0.122579627,10.2062,65.0827,0.7296,356581.5452,1443
21.8792,50.5481,1.674,1.466,-0.08601913,10.1607,67.4164,0.7455,358932.6518,1443.0081
22.0316,49.8679,1.6597,1.4659,-0.097945872,9.9824,66.4976,0.7511,358345.2959,1441.496
22.184,48.9829,1.654,1.4664,-0.113463612,9.7877,64.796,0.742,359584.8928,1441
22.3364,49.3006,1.6367,1.468,-0.107893006,9.8888,67.8494,0.7362,358268.2616,1442
22.4888,51.8358,1.625,1.4697,-0.063440379,9.9507,64.3332,0.7328,358134.14,1441
22.6412,55.0757,1.6242,1.4703,-0.006631423,10.0426,68.5638,0.7348,360383.603,1443.5
22.7936,54.7769,1.6245,1.4701,-0.011870633,10.0308,67.5391,0.7351,362876.3914,1441.9919
22.946,54.7176,1.6469,1.4691,-0.012910409,10.193,64.7764,0.7381,370339.7205,1442
23.0984,54.5582,1.6233,1.4674,-0.015705356,10.1407,71.5416,0.7493,367457.2007,1442
23.2508,53.3663,1.6139,1.4667,-0.036604333,10.1756,66.9799,0.7716,367739.768,1440.496
23.4032,49.8645,1.5857,1.4696,-0.098005488,9.9909,71.6709,0.7874,363682.4516,1441
23.5556,46.2082,1.5916,1.4719,-0.162115673,10.0565,70.9594,0.7937,367412.711,1441.9919
23.708,47.0757,1.5936,1.4682,-0.146904781,10.0828,67.6431,0.7959,370254.4742,1443
23.8604,49.0914,1.6042,1.4657,-0.111561155,10.0759,66.4376,0.7941,375113.1661,1443.504
24.0128,51.091,1.6128,1.4684,-0.076499829,10.0087,69.5651,0.7987,379532.8696,1443
24.1652,51.0333,1.6038,1.4677,-0.077511551,9.9242,68.2651,0.81,379810.248,1446.496
24.3176,52.854,1.5853,1.463,-0.045587088,9.9851,70.6764,0.8079,377796.7745,1445.496
24.47,59.685,1.5836,1.4663,0.074188825,10.0271,71.5209,0.7842,379756.7816,1448
24.6224,69.5248,1.5936,1.4773,0.246721549,10.072,65.2005,0.7826,384534.9151,1445
24.7748,78.0952,1.612,1.4828,0.396996397,10.0584,69.6388,0.8055,391382.3805,1447
